1,Tomato,Tomatoes are Americaâ€™s favorite garden vegetable. (Yes we technically eat the fruit of the tomato plant but it's used as a vegetable in eating and cooking and thus usually categorized in vegetables.) This vine plant is fairly easy to grow and will produce a bumper crop with proper care. Its uses are versatile however tomatoes are susceptible to a range of pests and diseases.,1,1,45,12-24,12-24,Leave your tomatoes on the vine as long as possible. The perfect tomato for picking will be firm and very red in color regardless of size with perhaps some yellow remaining around the stem. A ripe tomato will be only slightly soft. Pick at the base of the stem.
4,Carrots,Carrots are a popular root vegetable that are easy to grow in sandy soil. They are resistant to most pests and diseases and are a good late season crop that can tolerate frost. Not all carrots are orange; varieties vary in color from purple to white.,2,1,90,3-4,3-4,You may harvest whenever desired maturity is reached. You may leave mature carrots in the soil for storage if the ground will not freeze.
6,Beans,Pole and bush beans (more commonly called green beans) are a tender vegetable and a great addition to any garden great eaten fresh off the plant or incorporated into a recipe. Bush beans require less maintenance so they are easier to grow.,4,1,30,2-4,2-4,Beans are picked at an immature stage when the seeds inside have not yet fully developed. Look for firm sizable pods and snap or cut off the plant. Do not tear the plant.
8,Broccoli,Broccoli is a cool-season crop that like spinach can be grown in the spring or fall. In fact you may be able to get a continual harvest throughout both seasons if you time planting correctly. A member of the cabbage family broccoli is rich in vitamins.,1,1,120,12-24,12-24,In terms of timing: Harvest broccoli when the buds of the head are firm and tight before the heads flower. If you see yellow petals harvest immediately. For best taste harvest in the morning before the soil heats up. Cut the stalk of the main head at a slant about 5 to 8 inches below the head. Most varieties have side-shoots that will continue to develop after the main head is harvested. You can harvest from one plant for many weeks.
9,Brussels Sprouts,Brussels Sprouts are a member of the cabbage family and an excellent source of protein and vitamins. They have a long growing season and are generally more successful when grown for a fall harvest as they only increase in flavor after a light frost or two.,3,1,45,12-24,12-24,Harvest sprouts from the bottom of the stalk when they reach about 1 inch in diameter. Do not wash the sprouts before storing them only right before use.
10,Cabbage,Cabbage is a hardy leafy vegetable full of vitamins. It can be difficult to grow; it only likes cool temperatures and it can be a magnet for some type of pests. By planning your growing season and providing diligent care you may have two successful crops in one year both spring and fall. Many varieties are available to suit both your growing conditions and taste preferences.,2,4,60,12-24,12-24,Harvest when heads reach desired size and are firm. This will take around 70 days for most green cabbage varieties. Most early varieties will produce 1- to 3-pound heads. Cut each cabbage head at its base with a sharp knife. After harvesting bring inside or put in shade immediately. To get two crops from early cabbage plants cut the cabbage head out of the plant leaving the outer leaves and root in the garden. The plant will send up new heads pinch them off until only four or so smaller heads remain. When these grow to tennis-ball size they'll be perfect for salad.
11,Cauliflower,Cauliflower is a cool-season crop and a descendant of the common cabbage. It is more difficult to than its relatives because it does not tolerate the heat or cold as well. For this reason cauliflower is usually grown commercially. If you plan to attempt growing cauliflower in the home garden it requires consistently cool temperatures with temperatures in the 60s. Otherwise it prematurely â€œbuttonâ€â€”form small button-size headsâ€”rather than forming one nice white head.,4,1,70,24-30,24-30,When the heads are compact white and firm then it is time to harvest them. Ideally the heads will grow 6 to 8 inches in diameter. Cut the heads off the plant with a large knife. Be sure to leave some of the leaves around the head to keep it protected. If the heads are too small but have started to open up they will not improve and should be harvested. If the cauliflower has a coarse appearance it is too mature and should be tossed.
13,Chives,Chives are a perennial member of the onion family that sport beautiful purple flowers. Chives are cool-season cold-tolerant perennials that are planted in early spring. Be mindful when planting this herb as it will take over your garden if the flowers are left to ripen (the flowers scatter the seeds). However this plant is easy to dig up and move if it overwhelms your garden.,1,1,45,4-6,4-6,Harvest chives 30 days after you transplant or 60 days after seeding. Cut the leaves down to the base when harvesting (within 1 to 2 inches of the soil). Harvest 3 to 4 times during the first year. In subsequent years cut plants back monthly. The chive plant will flower in May or June. (The flowers are edible.)
14,Collard Greens,Collard Greens are a hardy cool-season green that are part of the cabbage family. They grow best in the spring and fall and can tolerate all fall frosts.,3,1,90,8-12,8-12,Collards are ready to harvest when the leaves are about the size of your hand. Pick about one fistful of leaves per harvest. Avoid picking the terminal bud (found at the top center of the plant) because this will help to keep the plant productive. The small tender leaves can be eaten uncooked and used in salads.
15,Cucumbers,Cucumbers are a warm-season vegetable planted outside in the ground no earlier than 2 weeks after last spring frost date. Most varieties will grow in any amount of space thanks to the plant's ability to climb. The most common varieties of slicing cucumbers have sprawling vines with large green leaves and curling tendrils. The growth of these plants is fast and the crop yield is abundant if you care for them properly.,2,1,30,4,4,Harvest regular slicing cucumbers when they about 6 to 8 inches long (slicing varieties). Harvest dills at 4 to 6 inches long and pickles at 2 inches long for pickles. Harvest by cutting or pinching at the base of the fruit. Cucumbers are best picked before they seeds become hard and are eaten when immature. Do not let them get yellow. A cucumber is of highest quality when it is uniformly green firm and crisp. At peak harvesting time you should be picking cucumbers every couple of days. Keep them picked. If you donâ€™t as plants mature they will stop producing.
16,Sweet Corn,Sweet corn is an annual with yellow white and bi-colored ears. A long frost-free growing season is necessary after planting. Sweet corn is wind-pollinated so it should be planted in blocks rather than in single rows. Early mid and late-season varieties extend the harvest. If you miss the optimal harvest time corn will go downhill fast as sugars convert to starch.,4,1,120,12,12,Harvest when tassels begin to turn brown and cobs start to swell. Kernels should be full and milky. Pull ears downward and twist to take off stalk.
17,Eggplant,Eggplants are short-lived perennial vegetables but are usually cultivated as annuals. Also known as aubergines eggplants differ mainly in size shape and color of the fruits. Eggplants are tropical and subtropical requiring relatively high temperatures. Related crop include tomatoes potatoes and peppers.,1,1,45,24-30,24-30,Harvest 16 to 24 weeks after sowing when the skin of the fruit is shiny and unwrinkled. Cut the fruit close to the stem but leaving about an inch of it attached.
18,Onion,Onions are a cold-season crop easy to grow because of their hardiness. We recommend using onion sets which can be planted without worry of frost damage and have a higher success rate than direct seed or transplants. Onions grow well on raised beds or raised rows at least 4 inches high.,3,1,60,12-18,12-18,When tops are brown pull the onions. Be sure to harvest in late summer before cool weather. Mature onions may spoil in fall weather.
19,Garlic,Garlic is easy to grow and produces numerous bulbs after a long growing season. It is frost tolerant. Beyond its intense flavor and culinary uses â€œthe stinking roseâ€ is good in the garden as an insect repellent and has been used for centuries as a home remedy.,2,4,70,4-5,4-5,Harvest time depends on when you plant but the clue is to look for yellow tops. Harvest when the tops begin to yellow and fall over before they are completely dry. To harvest carefully lift the bulbs with a spade or garden fork. Pull the plants carefully brush off the soil and let them cure in an airy shady spot for two weeks. We hang them upside down on a string in bunches of 4 to 6. Make sure all sides get good air circulation.
20,Kale,Kale is a hardy cool-season green that is part of the cabbage family. It grows best in the spring and fall and can tolerate all fall frosts. Kale can be used in salads or as a garnish and is rich in minerals and vitamins A and C.,4,1,45,8-12,8-12,Kale is ready to harvest when the leaves are about the size of your hand. Pick about one fistful of leaves per harvest. Avoid picking the terminal bud (found at the top center of the plant) because this will help to keep the plant productive. The small tender leaves can be eaten uncooked and used in salads.
21,Cantaloupe,What we commonly refer to as â€˜cantaloupeâ€™ is actually not true cantaloupe rather a type of muskmelon. (True cantaloupe has a rough warty rind and is not widely grown or commercially available in the US.) Muskmelons are a heat-loving fruit with a long growing season. Their cultural and growing requirements are very similar to other melons. They have a net-like tan rind and sweet orange flesh. The names muskmelon and cantaloupe are used interchangeably. We will use the name cantaloupe for this page to avoid confusion.,1,1,90,18,18,When rinds begin to change from green to tan or yellow the melon is probably ripe but be careful not to pick too early. Look for a crack in the stem where it attaches to the fruit. This is a sign of ripeness as well. The fruit should be easy to separate from the vine but if they fall off by themselves they are usually overripe. Harvest melon when vines are dry and be careful not to damage them.
24,Bell Peppers,Peppers are a tender warm-season crop. They resist most pests and offer something for everyone: spicy sweet or hot and a variety of colors shapes and sizes. For this page we will focus on sweet bell peppers.,3,1,30,18-24,18-24,Harvest as soon as peppers reach desired size and color(green peppers are just a less mature stage of red yellow or purple bell peppers). The longer bell peppers stay on the plant the more sweet they become and the greater their Vitamin C content. Use a sharp knife or scissors to cut peppers clean off the plant for the least damage.
25,Potatoes,This half hardy vegetable is a culinary staple and yet is overlooked by many backyard gardeners. The taste and texture of home-grown potatoes are far superior to store bought especially the early varieties. They need a cool climate and also need to be watched to prevent sunburn. Potatoes can be grown as a winter crop in warmer climate zones.,2,1,120,12,12,Dig potatoes on a dry day. Dig up gently being careful not to puncture the tubers. The soil should not be compact so digging should be easy. New potatoes will be ready for harvest after 10 weeks usually in early July. You should harvest all of your potatoes once the vines die (usually by late August) or the potatoes may rot.
